#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             ElecElec            Coulomb             BlockWeight         BlockCPU            AcceptRatio         
        76   -2.8308648841e+00    8.1649094460e+00   -6.4456551433e+00    3.6147902591e+00    1.1447119467e+00   -7.5903670899e+00    1.6000000000e+04    6.2234052450e-02    8.7178125000e-01
        77   -2.8367022566e+00    8.2053258644e+00   -6.4599121704e+00    3.6232099138e+00    1.1309047294e+00   -7.5908168997e+00    1.6000000000e+04    6.2457653363e-02    8.7240625000e-01
        78   -2.8307619976e+00    8.1707733832e+00   -6.5527564750e+00    3.7219944774e+00    1.1466599295e+00   -7.6994164045e+00    1.6000000000e+04    6.2256337994e-02    8.6806250000e-01
        79   -2.8350557192e+00    8.1959548877e+00   -6.4334856997e+00    3.5984299805e+00    1.1447426822e+00   -7.5782283819e+00    1.6000000000e+04    6.2840164313e-02    8.7115625000e-01
        80   -2.8414258572e+00    8.2191213140e+00   -6.4968642833e+00    3.6554384261e+00    1.1200284542e+00   -7.6168927375e+00    1.6000000000e+04    6.2812762731e-02    8.7128125000e-01
        81   -2.8270244243e+00    8.1429594241e+00   -6.5737437904e+00    3.7467193660e+00    1.1491596043e+00   -7.7229033947e+00    1.6000000000e+04    6.2987511044e-02    8.6918750000e-01
        82   -2.8514021582e+00    8.2805782002e+00   -6.4683488259e+00    3.6169466677e+00    1.1138491818e+00   -7.5821980077e+00    1.6000000000e+04    6.2564641256e-02    8.7087500000e-01
        83   -2.8343327562e+00    8.1919544930e+00   -6.5009971996e+00    3.6666644434e+00    1.1432353672e+00   -7.6442325667e+00    1.6000000000e+04    6.2578230300e-02    8.7284375000e-01
        84   -2.8124363686e+00    8.0625142534e+00   -6.7042137305e+00    3.8917773619e+00    1.1614747174e+00   -7.8656884479e+00    1.6000000000e+04    6.2149852700e-02    8.6487500000e-01
        85   -2.8291463452e+00    8.1583647557e+00   -6.4559591078e+00    3.6268127626e+00    1.1523786138e+00   -7.6083377216e+00    1.6000000000e+04    6.2513730531e-02    8.6984375000e-01
        86   -2.8404910137e+00    8.2249915559e+00   -6.4900102183e+00    3.6495192045e+00    1.1352711027e+00   -7.6252813210e+00    1.6000000000e+04    6.2455953619e-02    8.6865625000e-01
        87   -2.8383862408e+00    8.2056002391e+00   -6.4760624597e+00    3.6376762188e+00    1.1312362662e+00   -7.6072987259e+00    1.6000000000e+04    6.2756958506e-02    8.7031250000e-01
        88   -2.8534091579e+00    8.3011534069e+00   -6.5340491857e+00    3.6806400277e+00    1.1183401105e+00   -7.6523892962e+00    1.6000000000e+04    6.2492194506e-02    8.6690625000e-01
        89   -2.8460385574e+00    8.2535973534e+00   -6.3454414652e+00    3.4994029078e+00    1.1249551889e+00   -7.4703966540e+00    1.6000000000e+04    6.3168780644e-02    8.7040625000e-01
        90   -2.8439785028e+00    8.2419987509e+00   -6.3522641719e+00    3.5082856692e+00    1.1354192483e+00   -7.4876834202e+00    1.6000000000e+04    6.2030382181e-02    8.7218750000e-01
        91   -2.8353799243e+00    8.1932121980e+00   -6.4245404818e+00    3.5891605574e+00    1.1325657247e+00   -7.5571062065e+00    1.6000000000e+04    6.2656209750e-02    8.7353125000e-01
        92   -2.8402070091e+00    8.2149390753e+00   -6.4617378329e+00    3.6215308238e+00    1.1277123363e+00   -7.5894501692e+00    1.6000000000e+04    6.2365099538e-02    8.6921875000e-01
        93   -2.8389566019e+00    8.2184611576e+00   -6.4953104976e+00    3.6563538957e+00    1.1281488890e+00   -7.6234593866e+00    1.6000000000e+04    6.2185517844e-02    8.7246875000e-01
