# Index          LocalEnergy            Variance              Weight        NumOfWalkers      AvgSentWalkers         TrialEnergy             DiffEff      LivingFraction
       128   -1.7260532844e+01    2.3065286818e-01    1.0272776829e+04    1.0273000000e+04    3.1250000000e-01   -1.7263375156e+01    9.9489105211e-01    9.9970797235e-01
       129   -1.7260582783e+01    2.1917918812e-01    1.0273845106e+04    1.0274000000e+04    2.5000000000e-01   -1.7263373547e+01    9.9536566562e-01    9.9902666926e-01
       130   -1.7263269794e+01    2.4016986015e-01    1.0278915864e+04    1.0279000000e+04    5.0000000000e-01   -1.7263875898e+01    9.9575528220e-01    9.9922171417e-01
       131   -1.7262213525e+01    2.0908279555e-01    1.0276965404e+04    1.0277000000e+04    2.5000000000e-01   -1.7263697703e+01    9.9546515008e-01    9.9892964873e-01
       132   -1.7260182852e+01    2.1666949100e-01    1.0275880207e+04    1.0276000000e+04    3.1250000000e-01   -1.7263699733e+01    9.9530057959e-01    9.9892954457e-01
       133   -1.7262192932e+01    2.4031339291e-01    1.0272882884e+04    1.0273000000e+04    4.3750000000e-01   -1.7263469058e+01    9.9586690583e-01    9.9931860216e-01
       134   -1.7259546457e+01    2.2318202135e-01    1.0270858578e+04    1.0271000000e+04    3.1250000000e-01   -1.7263272333e+01    9.9548548447e-01    9.9941583098e-01
       135   -1.7263672212e+01    2.3912239825e-01    1.0275842504e+04    1.0276000000e+04    3.1250000000e-01   -1.7263814547e+01    9.9561997304e-01    9.9912417283e-01
       136   -1.7260739481e+01    2.3810759241e-01    1.0275870936e+04    1.0276000000e+04    3.7500000000e-01   -1.7263793474e+01    9.9618817062e-01    9.9941611522e-01
       137   -1.7258121771e+01    2.1475690122e-01    1.0276761700e+04    1.0277000000e+04    2.5000000000e-01   -1.7263982356e+01    9.9525570656e-01    9.9912425805e-01
       138   -1.7260351487e+01    2.3107760765e-01    1.0273773075e+04    1.0274000000e+04    5.0000000000e-01   -1.7263699975e+01    9.9532133088e-01    9.9892933619e-01
       139   -1.7260913946e+01    2.1941060616e-01    1.0272861671e+04    1.0273000000e+04    3.1250000000e-01   -1.7263544602e+01    9.9559651003e-01    9.9931860216e-01
       140   -1.7260595269e+01    2.1292031495e-01    1.0271853646e+04    1.0272000000e+04    1.2500000000e-01   -1.7263447864e+01    9.9570932486e-01    9.9853971963e-01
       141   -1.7261914668e+01    2.0632885967e-01    1.0266929706e+04    1.0267000000e+04    5.6250000000e-01   -1.7262975283e+01    9.9580217874e-01    9.9951300282e-01
       142   -1.7259876434e+01    2.1061767935e-01    1.0265883223e+04    1.0266000000e+04    2.5000000000e-01   -1.7262883908e+01    9.9594670897e-01    9.9931813754e-01
       143   -1.7260950285e+01    2.2632593641e-01    1.0265906548e+04    1.0266000000e+04    4.3750000000e-01   -1.7262920341e+01    9.9506401808e-01    9.9883109293e-01
       144   -1.7259142411e+01    2.7690523031e-01    1.0260842295e+04    1.0261000000e+04    2.5000000000e-01   -1.7262421631e+01    9.9560900076e-01    9.9931780528e-01
       145   -1.7259313041e+01    2.4602604456e-01    1.0264778585e+04    1.0265000000e+04    3.7500000000e-01   -1.7262824210e+01    9.9495241949e-01    9.9922065270e-01
       146   -1.7261120781e+01    2.2271856918e-01    1.0259889545e+04    1.0260000000e+04    2.5000000000e-01   -1.7262309969e+01    9.9467798645e-01    9.9873294347e-01
       147   -1.7262742490e+01    2.2212023836e-01    1.0252026331e+04    1.0252000000e+04    5.6250000000e-01   -1.7261507689e+01    9.9569846515e-01    9.9941474834e-01
       148   -1.7265953078e+01    2.4128590472e-01    1.0260064306e+04    1.0260000000e+04    4.3750000000e-01   -1.7262304059e+01    9.9561744096e-01    9.9941520468e-01
       149   -1.7263194897e+01    2.1655854139e-01    1.0255081220e+04    1.0255000000e+04    1.8750000000e-01   -1.7261865380e+01    9.9596860601e-01    9.9921989274e-01
       150   -1.7261201027e+01    2.2143064091e-01    1.0253024181e+04    1.0253000000e+04    2.5000000000e-01   -1.7261781363e+01    9.9595660477e-01    9.9892714328e-01
       151   -1.7260831268e+01    2.4675909587e-01    1.0248931932e+04    1.0249000000e+04    4.3750000000e-01   -1.7261443751e+01    9.9617899871e-01    9.9912186555e-01
       152   -1.7264208610e+01    2.6084856059e-01    1.0246973416e+04    1.0247000000e+04    4.3750000000e-01   -1.7261260818e+01    9.9595261777e-01    9.9951205231e-01
       153   -1.7263587799e+01    2.1826449681e-01    1.0249034010e+04    1.0249000000e+04    3.7500000000e-01   -1.7261460766e+01    9.9550010648e-01    9.9931700654e-01
       154   -1.7262776869e+01    2.5447760150e-01    1.0247040867e+04    1.0247000000e+04    4.3750000000e-01   -1.7261332761e+01    9.9572888955e-01    9.9931687323e-01
       155   -1.7259426986e+01    2.6858028923e-01    1.0250891580e+04    1.0251000000e+04    3.7500000000e-01   -1.7261776469e+01    9.9542145484e-01    9.9980489708e-01
       156   -1.7257526574e+01    2.4731207121e-01    1.0254783108e+04    1.0255000000e+04    2.5000000000e-01   -1.7262203635e+01    9.9573005420e-01    9.9912237933e-01
       157   -1.7260484011e+01    2.2546907636e-01    1.0251849126e+04    1.0252000000e+04    3.7500000000e-01   -1.7261888019e+01    9.9547134480e-01    9.9931720640e-01
       158   -1.7264276444e+01    2.1666082045e-01    1.0251020547e+04    1.0251000000e+04    3.7500000000e-01   -1.7261735468e+01    9.9549712598e-01    9.9912203687e-01
       159   -1.7261843722e+01    2.1379407722e-01    1.0248078673e+04    1.0248000000e+04    3.1250000000e-01   -1.7261439757e+01    9.9558437009e-01    9.9941451991e-01
       160   -1.7260742468e+01    2.2806210381e-01    1.0248005786e+04    1.0248000000e+04    1.8750000000e-01   -1.7261500051e+01    9.9557569374e-01    9.9921935988e-01
