#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             LocalECP            IonIon              ElecElec            BlockWeight         BlockCPU            AcceptRatio         
        86   -8.5494397655e+00    7.3236127384e+01   -1.6264876518e+01    7.7154367525e+00   -1.1993672144e+01   -3.6892268292e+00   -5.8197754523e-01    1.0205100000e+05    2.4493685619e-01    9.9708480398e-01
        87   -8.5489234703e+00    7.3226429922e+01   -1.6207331827e+01    7.6584083563e+00   -1.1925923983e+01   -3.6892268292e+00   -5.9218101429e-01    1.0198000000e+05    2.4776133900e-01    9.9716160127e-01
        88   -8.5488266602e+00    7.3224370611e+01   -1.6223057067e+01    7.6742304069e+00   -1.1931989737e+01   -3.6892268292e+00   -6.0184050136e-01    1.0191400000e+05    2.4558649563e-01    9.9710227583e-01
        89   -8.5524660927e+00    7.3288469274e+01   -1.6159219195e+01    7.6067531024e+00   -1.1879668541e+01   -3.6892268292e+00   -5.9032382522e-01    1.0202800000e+05    2.4607461500e-01    9.9727264838e-01
        90   -8.5472818565e+00    7.3200402593e+01   -1.6150706618e+01    7.6034247614e+00   -1.1872690586e+01   -3.6892268292e+00   -5.8878920226e-01    1.0219700000e+05    2.4195526656e-01    9.9715243596e-01
        91   -8.5504160496e+00    7.3254060823e+01   -1.6022141513e+01    7.4717254638e+00   -1.1741551145e+01   -3.6892268292e+00   -5.9136353910e-01    1.0224800000e+05    2.4267197150e-01    9.9711972619e-01
        92   -8.5485073251e+00    7.3217684800e+01   -1.6072707641e+01    7.5242003154e+00   -1.1785798657e+01   -3.6892268292e+00   -5.9768215468e-01    1.0223200000e+05    2.4408657456e-01    9.9700902662e-01
        93   -8.5463950112e+00    7.3183893898e+01   -1.6112894775e+01    7.5664997635e+00   -1.1836752422e+01   -3.6892268292e+00   -5.8691552321e-01    1.0228700000e+05    2.4702503250e-01    9.9701799296e-01
        94   -8.5491850280e+00    7.3232366451e+01   -1.6183007964e+01    7.6338229356e+00   -1.1907681910e+01   -3.6892268292e+00   -5.8609922457e-01    1.0235300000e+05    2.4608170544e-01    9.9714986760e-01
        95   -8.5538707991e+00    7.3315797677e+01   -1.6218361111e+01    7.6644903117e+00   -1.1954362401e+01   -3.6892268292e+00   -5.7477188010e-01    1.0232400000e+05    2.4476354962e-01    9.9705096365e-01
        96   -8.5527461962e+00    7.3293188943e+01   -1.6212298972e+01    7.6595527762e+00   -1.1932099224e+01   -3.6892268292e+00   -5.9097291926e-01    1.0228100000e+05    2.4153368188e-01    9.9706227797e-01
        97   -8.5514037306e+00    7.3266818004e+01   -1.6240437654e+01    7.6890339233e+00   -1.1957374803e+01   -3.6892268292e+00   -5.9383602183e-01    1.0235400000e+05    2.4480569906e-01    9.9715664397e-01
        98   -8.5547703257e+00    7.3326209715e+01   -1.6201536687e+01    7.6467663614e+00   -1.1929073318e+01   -3.6892268292e+00   -5.8323654035e-01    1.0236500000e+05    2.4428426119e-01    9.9695203956e-01
        99   -8.5539662140e+00    7.3314338348e+01   -1.6173434674e+01    7.6194684599e+00   -1.1903299167e+01   -3.6892268292e+00   -5.8090867785e-01    1.0219100000e+05    2.4511925988e-01    9.9728288055e-01
       100   -8.5549073314e+00    7.3329525996e+01   -1.6093457577e+01    7.5385502461e+00   -1.1808021343e+01   -3.6892268292e+00   -5.9620940566e-01    1.0214600000e+05    2.4912418919e-01    9.9703565033e-01
       101   -8.5473890801e+00    7.3199738329e+01   -1.6128363911e+01    7.5809748309e+00   -1.1830424309e+01   -3.6892268292e+00   -6.0871277286e-01    1.0230100000e+05    2.5011180319e-01    9.9712806352e-01
       102   -8.5513292312e+00    7.3269462510e+01   -1.6236565021e+01    7.6852357895e+00   -1.1958915745e+01   -3.6892268292e+00   -5.8842244632e-01    1.0235700000e+05    2.4585552469e-01    9.9715488880e-01
       103   -8.5549579016e+00    7.3332702193e+01   -1.6188828964e+01    7.6338710627e+00   -1.1929177211e+01   -3.6892268292e+00   -5.7042492361e-01    1.0238300000e+05    2.4884575706e-01    9.9705504343e-01
       104   -8.5525166272e+00    7.3289522022e+01   -1.6177811455e+01    7.6252948276e+00   -1.1914981076e+01   -3.6892268292e+00   -5.7360354908e-01    1.0226900000e+05    2.4134828981e-01    9.9713287281e-01
       105   -8.5443450577e+00    7.3147279268e+01   -1.6212993501e+01    7.6686484430e+00   -1.1943121287e+01   -3.6892268292e+00   -5.8064538481e-01    1.0222600000e+05    2.4385116156e-01    9.9702384270e-01
       106   -8.5509600083e+00    7.3263700795e+01   -1.6122815892e+01    7.5718558834e+00   -1.1862441118e+01   -3.6892268292e+00   -5.7114794403e-01    1.0227500000e+05    2.4148890350e-01    9.9721556038e-01
       107   -8.5456304897e+00    7.3170619411e+01   -1.6179023271e+01    7.6333927817e+00   -1.1909680554e+01   -3.6892268292e+00   -5.8011588776e-01    1.0222400000e+05    2.4604016344e-01    9.9712215610e-01
       108   -8.5458529626e+00    7.3176829242e+01   -1.6194076045e+01    7.6482230827e+00   -1.1926442242e+01   -3.6892268292e+00   -5.7840697363e-01    1.0206200000e+05    2.4204908562e-01    9.9717123516e-01
       109   -8.5460649766e+00    7.3177895189e+01   -1.6156517250e+01    7.6104522738e+00   -1.1884637863e+01   -3.6892268292e+00   -5.8265255858e-01    1.0205500000e+05    2.4847350475e-01    9.9724882797e-01
       110   -8.5482517856e+00    7.3217287790e+01   -1.6167999338e+01    7.6197475524e+00   -1.1908490424e+01   -3.6892268292e+00   -5.7028208503e-01    1.0214600000e+05    2.4360467037e-01    9.9703833800e-01
       111   -8.5477882500e+00    7.3207551519e+01   -1.6153710053e+01    7.6059218026e+00   -1.1881687363e+01   -3.6892268292e+00   -5.8279586084e-01    1.0214700000e+05    2.4348256444e-01    9.9705825167e-01
       112   -8.5490753023e+00    7.3232436373e+01   -1.6159169072e+01    7.6100937694e+00   -1.1892121478e+01   -3.6892268292e+00   -5.7782076461e-01    1.0223300000e+05    2.3940370713e-01    9.9712609682e-01
       113   -8.5486701933e+00    7.3222025026e+01   -1.6143246226e+01    7.5945760324e+00   -1.1866247331e+01   -3.6892268292e+00   -5.8777206569e-01    1.0224400000e+05    2.4337799688e-01    9.9697556500e-01
       114   -8.5518836901e+00    7.3278731816e+01   -1.6080553534e+01    7.5286698436e+00   -1.1809712978e+01   -3.6892268292e+00   -5.8161372657e-01    1.0221400000e+05    2.3935946431e-01    9.9720687722e-01
